model,horizon,n,cov10,cov20,cov30,cov40,cov50,cov60,cov70,cov80,cov90,cov_central80,mean_abs_dev,p_value,pct_below_p10,pct_above_p90
climatology,1,890,0.23146067415730337,0.3202247191011236,0.4202247191011236,0.5,0.5617977528089888,0.6348314606741573,0.7112359550561798,0.7887640449438202,0.8865168539325843,0.6550561797752809,0.06716604244694134,6.21145043485599e-36,23.146067415730336,11.348314606741573
climatology,4,890,0.23370786516853934,0.3258426966292135,0.40224719101123596,0.4786516853932584,0.5629213483146067,0.6393258426966292,0.7112359550561798,0.7887640449438202,0.8831460674157303,0.6494382022471911,0.06466916354556805,2.4747277557913695e-36,23.370786516853933,11.685393258426966
climatology,8,890,0.23595505617977527,0.3258426966292135,0.40561797752808987,0.48089887640449436,0.5617977528089888,0.6415730337078651,0.7123595505617978,0.7898876404494382,0.8831460674157303,0.647191011235955,0.06566791510611737,1.8779410390106157e-37,23.59550561797753,11.685393258426966
climatology,13,890,0.2348314606741573,0.32808988764044944,0.4258426966292135,0.5089887640449439,0.5674157303370787,0.6370786516853932,0.7078651685393258,0.7898876404494382,0.8820224719101124,0.647191011235955,0.07091136079900126,1.1195964336754912e-38,23.48314606741573,11.797752808988765
persistence,1,890,0.1146067415730337,0.2606741573033708,0.36179775280898874,0.4449438202247191,0.5213483146067416,0.5921348314606741,0.6674157303370787,0.7764044943820225,0.8876404494382022,0.7730337078651686,0.031086142322097374,1.1332520367960885e-06,11.460674157303371,11.235955056179776
persistence,4,890,0.13258426966292136,0.24157303370786518,0.32471910112359553,0.41235955056179774,0.4898876404494382,0.5898876404494382,0.6741573033707865,0.7842696629213484,0.8853932584269663,0.7528089887640449,0.020848938826466917,0.0050299056275799146,13.258426966292134,11.460674157303371
persistence,8,890,0.15842696629213482,0.24157303370786518,0.31235955056179776,0.40786516853932586,0.49775280898876406,0.5842696629213483,0.6595505617977528,0.7752808988764045,0.8808988764044944,0.7224719101123596,0.024719101123595502,1.597008111070115e-08,15.842696629213483,11.910112359550562
persistence,13,890,0.16741573033707866,0.2606741573033708,0.33370786516853934,0.4280898876404494,0.4842696629213483,0.5887640449438202,0.6696629213483146,0.7685393258426966,0.8629213483146068,0.6955056179775281,0.03508114856429464,1.199441686954639e-13,16.741573033707866,13.707865168539326
timesfm_covariates,1,890,0.11348314606741573,0.2393258426966292,0.3325842696629214,0.42696629213483145,0.5258426966292135,0.5988764044943821,0.6820224719101123,0.7685393258426966,0.8730337078651685,0.7595505617977528,0.02397003745318352,0.002439314159047559,11.348314606741573,12.696629213483146
timesfm_covariates,4,890,0.10561797752808989,0.21910112359550563,0.3044943820224719,0.40224719101123596,0.503370786516854,0.5943820224719101,0.6921348314606741,0.7966292134831461,0.9078651685393259,0.802247191011236,0.006616729088639209,0.691914838200467,10.561797752808989,9.213483146067416
timesfm_covariates,8,890,0.10786516853932585,0.19662921348314608,0.2932584269662921,0.401123595505618,0.49775280898876406,0.5955056179775281,0.6910112359550562,0.7932584269662921,0.8977528089887641,0.7898876404494382,0.004868913857677894,0.9673316672739798,10.786516853932584,10.224719101123595
timesfm_covariates,13,890,0.09213483146067415,0.1797752808988764,0.2910112359550562,0.39101123595505616,0.5123595505617977,0.6,0.7033707865168539,0.8168539325842696,0.9179775280898876,0.8258426966292135,0.010736579275905114,0.1600806219890132,9.213483146067416,8.202247191011235
