model,horizon,n,cov10,cov20,cov30,cov40,cov50,cov60,cov70,cov80,cov90,cov_central80,mean_abs_dev,p_value,pct_below_p10,pct_above_p90
climatology,1,882,0.0691609977324263,0.1054421768707483,0.15192743764172337,0.2290249433106576,0.2698412698412698,0.3242630385487528,0.41496598639455784,0.5192743764172335,0.6258503401360545,0.5770975056689343,0.1989166036785084,1.0418355951077795e-163,6.916099773242631,37.414965986394556
climatology,4,882,0.07256235827664399,0.10770975056689343,0.15532879818594103,0.23582766439909297,0.2687074829931973,0.3163265306122449,0.391156462585034,0.4954648526077097,0.6145124716553289,0.5578231292517006,0.20471151423532374,5.687510173258095e-180,7.2562358276643995,38.54875283446712
climatology,8,882,0.07142857142857142,0.10657596371882086,0.15532879818594103,0.23582766439909297,0.2653061224489796,0.3197278911564626,0.3877551020408163,0.4875283446712018,0.6009070294784581,0.54421768707483,0.20773494583018393,5.831074574326419e-195,7.142857142857143,39.909297052154194
climatology,13,882,0.06462585034013606,0.10204081632653061,0.14512471655328799,0.21882086167800455,0.2619047619047619,0.3129251700680272,0.4002267573696145,0.4965986394557823,0.6009070294784581,0.5510204081632653,0.2107583774250441,2.1446125835896106e-192,6.462585034013605,39.909297052154194
persistence,1,882,0.14399092970521543,0.2562358276643991,0.3469387755102041,0.47052154195011336,0.5385487528344671,0.6077097505668935,0.7063492063492064,0.7959183673469388,0.9024943310657596,0.7959183673469388,0.030763416477702213,2.2722443704222034e-06,14.399092970521542,9.750566893424036
persistence,4,882,0.14965986394557823,0.24149659863945577,0.3242630385487528,0.41950113378684806,0.4988662131519274,0.5850340136054422,0.6723356009070295,0.7766439909297053,0.8854875283446711,0.7698412698412699,0.02406147644242882,6.635640233064265e-05,14.965986394557824,11.45124716553288
persistence,8,882,0.13945578231292516,0.23469387755102042,0.31065759637188206,0.40249433106575966,0.5,0.5804988662131519,0.6836734693877551,0.7857142857142857,0.8820861678004536,0.7721088435374149,0.017258755353993443,0.0019709499283663352,13.945578231292517,11.791383219954648
persistence,13,882,0.1360544217687075,0.21882086167800455,0.30839002267573695,0.4036281179138322,0.4931972789115646,0.5804988662131519,0.68140589569161,0.7698412698412699,0.8752834467120182,0.7607709750566893,0.0185185185185185,0.0036268785296730884,13.605442176870747,12.471655328798185
timesfm_covariates,1,882,0.1292517006802721,0.23242630385487528,0.3435374149659864,0.41836734693877553,0.5170068027210885,0.6224489795918368,0.7086167800453514,0.7970521541950113,0.8866213151927438,0.7947845804988662,0.020886873267825665,0.017940413195754342,12.92517006802721,11.337868480725623
timesfm_covariates,4,882,0.11678004535147392,0.23582766439909297,0.31859410430839,0.42063492063492064,0.5,0.5997732426303855,0.6972789115646258,0.7879818594104309,0.8809523809523809,0.7925170068027211,0.013983371126228272,0.05626959195373656,11.678004535147393,11.904761904761905
timesfm_covariates,8,882,0.11337868480725624,0.22108843537414966,0.30385487528344673,0.3888888888888889,0.49206349206349204,0.5736961451247166,0.6632653061224489,0.7596371882086168,0.873015873015873,0.7879818594104309,0.020861678004535155,0.026597159501118992,11.337868480725623,12.698412698412698
timesfm_covariates,13,882,0.09750566893424037,0.1984126984126984,0.2789115646258503,0.37188208616780044,0.4546485260770975,0.5487528344671202,0.6394557823129252,0.7471655328798186,0.8707482993197279,0.7947845804988662,0.0325018896447468,0.014976505130203925,9.750566893424036,12.92517006802721
