reservoir,horizon,crps_zeroshot,crps_finetuned,rel_gain
Aliyar,1,0.002151006058171705,0.0023009234026029664,-0.0696963840997673
Aliyar,4,0.007451017713411015,0.008284166002644222,-0.11181671031779072
Aliyar,8,0.012606953509230245,0.0135848471582182,-0.07756780004558461
Aliyar,13,0.01734452356177333,0.02013073296719888,-0.16063914327207285
Bhavanisagar,1,0.011242347739301285,0.011320006476866233,-0.006907697517082312
Bhavanisagar,4,0.041535761456052825,0.04266701891412726,-0.0272357462200703
Bhavanisagar,8,0.07317175905267756,0.07672048235046972,-0.04849853746494426
Bhavanisagar,13,0.10149597492376726,0.11783037432238862,-0.16093642541874176
Mettur,1,0.054763648453417475,0.054996075856077055,-0.004244191342680281
Mettur,4,0.21682713915981922,0.2327843797241484,-0.07359429555802688
Mettur,8,0.3423403102379064,0.37527158605575084,-0.09619456088872247
Mettur,13,0.4502608880890167,0.4773639177096761,-0.06019405712916637
Parambikulam,1,0.004454772502452402,0.004526231177307821,-0.01604092572989524
Parambikulam,4,0.01929355863279647,0.018103166678198817,0.06169893160995954
Parambikulam,8,0.03381156562177746,0.03170532352785329,0.0622935393612053
Parambikulam,13,0.04844511040221822,0.04836743331116599,0.0016034041497131613
Sholayar,1,0.002887112104856932,0.003051097324705339,-0.056799048285149034
Sholayar,4,0.01010648858275738,0.010723594070592141,-0.06106032602536149
Sholayar,8,0.01800336080988696,0.020488608783303018,-0.1380435575146184
Sholayar,13,0.023605524165803065,0.03069464642917878,-0.30031624011321933
Vaigai,1,0.005170250074126878,0.005057055135993091,0.02189351317845145
Vaigai,4,0.017704408540486456,0.017897389424202204,-0.010900159882463178
Vaigai,8,0.025100048816306994,0.025112311741872295,-0.000488561821335276
Vaigai,13,0.030381108057748327,0.03304730477633419,-0.08775837647257512
