reservoir,horizon,crps_zeroshot,crps_finetuned,rel_gain
Aliyar,1,0.0021743710917664,0.0022236619344926456,-0.022669011243247716
Aliyar,4,0.007372415455768592,0.007414006115169495,-0.005641388450017493
Aliyar,8,0.012373324008440382,0.012482963168518142,-0.008860930175510706
Aliyar,13,0.018084170743237447,0.021084993547844634,-0.16593643397938718
Bhavanisagar,1,0.011401251655530645,0.011164874852419618,0.020732530975786645
Bhavanisagar,4,0.043348143982010215,0.04202634547046713,0.030492620678099658
Bhavanisagar,8,0.07891999969691844,0.07697141599127123,0.024690619781176926
Bhavanisagar,13,0.11350960295278034,0.11959373778783165,-0.05360017722537802
Mettur,1,0.05736065826294301,0.056779962382517056,0.010123591639482732
Mettur,4,0.21919229336815316,0.22286890753793404,-0.01677346458347273
Mettur,8,0.3520878682455292,0.3730005430765636,-0.0593961812295416
Mettur,13,0.5084053870903681,0.5441373582034522,-0.07028243999848272
Parambikulam,1,0.005124393706386153,0.004798811728621388,0.06353570713331735
Parambikulam,4,0.021971250458895503,0.020270194079335387,0.07742191928231412
Parambikulam,8,0.03908274083103503,0.03284375931635812,0.15963520935365483
Parambikulam,13,0.056892065502725575,0.05393019605452592,0.052061204352964796
Sholayar,1,0.0032101839906773766,0.0032773136886077242,-0.0209114798794392
Sholayar,4,0.011542906839299845,0.011165344031753243,0.03270950834161834
Sholayar,8,0.020113755399639065,0.02042662634024838,-0.015555073351191773
Sholayar,13,0.027277027488846684,0.03148568595406171,-0.1542931489487227
Vaigai,1,0.005188226212789346,0.005186189186219518,0.00039262485602620245
Vaigai,4,0.018618788389554317,0.01938878551419373,-0.041355920080782704
Vaigai,8,0.026948120458907373,0.028045450978234663,-0.04072011333779613
Vaigai,13,0.03307257543769356,0.037647197841836046,-0.13832071871030283
