,q10,q20,q30,q40,q50,q60,q70,q80,q90
2026-01-11,22.859573,27.307892,27.894974,30.310425,32.623795,35.469193,37.32538,40.072113,46.758102
2026-01-18,14.112274,19.164581,22.215347,25.007172,27.129547,30.752197,33.159943,36.51126,44.380356
2026-01-25,12.546524,17.101898,20.769424,24.262115,26.414474,29.760162,31.466995,34.859604,41.825897
2026-02-01,5.865341,10.394043,16.197174,18.602203,20.027176,23.522034,27.284195,32.78044,38.98831
2026-02-08,5.3368835,8.494995,12.933044,16.152939,18.644318,22.395966,25.56842,29.252045,39.29033
2026-02-15,1.3683472,8.829758,11.513062,14.890228,18.850723,23.10353,27.022552,30.955353,43.11435
2026-02-22,0.07546997,6.27211,8.735306,12.372177,16.304352,20.080002,23.450882,28.65599,41.504074
2026-03-01,0.0,3.8719025,7.4108124,10.333527,13.910126,18.000595,20.66365,25.389038,39.04094
2026-03-08,0.0,0.0,4.2949524,7.4927673,11.3461,15.197159,18.543121,24.074219,37.945877
2026-03-15,0.0,0.0,1.7150116,4.4549866,7.921921,11.441147,16.11618,22.779343,42.23918
2026-03-22,0.0,0.0,0.0,2.508133,5.7586975,10.108841,14.930328,23.699783,45.358032
2026-03-29,0.0,0.0,0.0,3.4244843,7.4307404,11.719513,17.994797,29.418777,54.67221
2026-04-05,0.0,0.0,3.7267456,6.885391,11.818588,16.62088,22.435226,35.229965,62.41919
