reservoir,week,q10,q20,q30,q40,q50,q60,q70,q80,q90
Mettur,2025-05-15,2.1419678,2.1637406,2.1727076,2.1727567,2.1741292,2.1753397,2.1766598,2.18159,2.194833
Mettur,2025-05-22,2.086742,2.1456428,2.1697638,2.1794765,2.1846027,2.1881309,2.1928606,2.2050302,2.234275
Mettur,2025-05-29,2.00285,2.1148925,2.1636872,2.1857347,2.198031,2.206337,2.2162695,2.2356539,2.2775564
Mettur,2025-06-05,1.878882,2.0462413,2.1411767,2.1839986,2.2048078,2.2208185,2.2345634,2.2612164,2.3148203
Mettur,2025-06-12,1.7707553,1.9883811,2.1143582,2.1739638,2.2013805,2.2240772,2.2472284,2.286147,2.3653064
Mettur,2025-06-19,1.6462296,1.9186764,2.094738,2.167295,2.2038991,2.2320526,2.2633836,2.3129108,2.412244
Mettur,2025-06-26,1.5489343,1.8608179,2.0665383,2.1583989,2.2009244,2.2366831,2.2831733,2.3543162,2.4857295
Mettur,2025-07-03,1.430187,1.7888143,2.0365322,2.148562,2.2024765,2.2458515,2.3038285,2.394125,2.547399
Mettur,2025-07-10,1.3166287,1.7158079,2.00184,2.1347003,2.1954079,2.250204,2.3248308,2.4289577,2.604275
Mettur,2025-07-17,1.1897961,1.6590436,1.9733596,2.1264243,2.195452,2.2569537,2.3450408,2.4665673,2.6664927
Mettur,2025-07-24,1.1017185,1.6205599,1.9503202,2.11836,2.1979845,2.269383,2.3682876,2.4998853,2.712612
Mettur,2025-07-31,1.0382901,1.5808021,1.9184127,2.1033137,2.1993818,2.2841005,2.3980198,2.5396929,2.7592769
Mettur,2025-08-07,1.0052319,1.555223,1.8945282,2.094063,2.1992352,2.2915785,2.4168162,2.5582662,2.778816
Bhavanisagar,2025-05-15,0.2638657,0.27332118,0.27985594,0.2849269,0.29022908,0.29295057,0.2977167,0.3042454,0.3195968
Bhavanisagar,2025-05-22,0.23848808,0.2580749,0.27141938,0.28302333,0.2929811,0.3005512,0.31189713,0.32790452,0.3533805
Bhavanisagar,2025-05-29,0.21852916,0.24904174,0.26988432,0.28682163,0.302689,0.31510457,0.3321318,0.35547644,0.3881566
Bhavanisagar,2025-06-05,0.20602444,0.24794027,0.27482295,0.2969162,0.31918108,0.33914706,0.3612095,0.38883647,0.42703974
Bhavanisagar,2025-06-12,0.2041077,0.25849682,0.29361615,0.32107607,0.34982973,0.37601012,0.40204355,0.43283036,0.4763772
Bhavanisagar,2025-06-19,0.19468743,0.26066688,0.30450225,0.33852303,0.3778388,0.41276148,0.4458344,0.48169807,0.53080976
Bhavanisagar,2025-06-26,0.199785,0.2730926,0.32148257,0.3596864,0.39864895,0.43326637,0.4652859,0.50182414,0.5520052
Bhavanisagar,2025-07-03,0.25342774,0.3340716,0.38944602,0.43243408,0.47718486,0.51656145,0.5498017,0.5867305,0.6341092
Bhavanisagar,2025-07-10,0.32892683,0.41437784,0.47039223,0.5148705,0.5558321,0.59121335,0.62158036,0.6545665,0.6957729
Bhavanisagar,2025-07-17,0.38299942,0.47882253,0.5399828,0.5879915,0.62844604,0.66343594,0.69418967,0.723841,0.7613582
Bhavanisagar,2025-07-24,0.4425333,0.541986,0.60248643,0.6502215,0.6849404,0.7128959,0.7392198,0.76613736,0.7996861
Bhavanisagar,2025-07-31,0.49057174,0.59389687,0.65488124,0.7039666,0.7378457,0.7645887,0.7897475,0.8144735,0.84435004
Bhavanisagar,2025-08-07,0.50300765,0.6080246,0.6693411,0.7198619,0.75251377,0.77794105,0.80147916,0.8242891,0.8502453
Vaigai,2025-05-15,0.07394619,0.074650034,0.07529424,0.07596402,0.0764869,0.07694659,0.07715231,0.07782471,0.07923959
Vaigai,2025-05-22,0.067677215,0.07029779,0.07198846,0.073984414,0.07489437,0.07549245,0.07601287,0.07892251,0.0835807
Vaigai,2025-05-29,0.06289852,0.06640574,0.068720676,0.07088613,0.07228018,0.07307042,0.076493904,0.08457551,0.09724396
Vaigai,2025-06-05,0.05679299,0.061797693,0.06522116,0.06842065,0.070842385,0.07297897,0.077986814,0.08826445,0.10433398
Vaigai,2025-06-12,0.052764084,0.05897716,0.06293005,0.06676148,0.07023816,0.07384902,0.081269115,0.09614009,0.11665246
Vaigai,2025-06-19,0.04936938,0.056474455,0.06079515,0.06502462,0.06963131,0.074968144,0.08563,0.10532979,0.12758072
Vaigai,2025-06-26,0.046672523,0.05545798,0.06111104,0.06635061,0.07327388,0.08007281,0.09251604,0.11504958,0.13766906
Vaigai,2025-07-03,0.04631044,0.055922017,0.06290257,0.06922737,0.07758918,0.08665754,0.10100696,0.12616965,0.14700364
Vaigai,2025-07-10,0.044004105,0.05540871,0.06281038,0.070631735,0.08287027,0.09563397,0.11290166,0.13724998,0.15765773
Vaigai,2025-07-17,0.04794649,0.058529843,0.066158205,0.07400419,0.08698286,0.100647315,0.117605954,0.1398527,0.15595368
Vaigai,2025-07-24,0.048078634,0.058574665,0.06594676,0.07401543,0.08825122,0.10379354,0.121460035,0.14258555,0.15617841
Vaigai,2025-07-31,0.04641492,0.057170313,0.06449893,0.07380615,0.08986461,0.10791051,0.12509376,0.14444843,0.1554713
Vaigai,2025-08-07,0.04708548,0.05853158,0.06618468,0.07737469,0.09559615,0.11583598,0.13335016,0.15087456,0.15903191
Parambikulam,2025-05-15,0.26362783,0.2671961,0.26926464,0.27073795,0.27255875,0.27352673,0.27479595,0.27664864,0.28172845
Parambikulam,2025-05-22,0.23735769,0.24676323,0.2518457,0.25655767,0.2602577,0.26300454,0.26751366,0.27452955,0.28472975
Parambikulam,2025-05-29,0.21364172,0.22880034,0.23775922,0.24539162,0.2512741,0.2561676,0.2642006,0.27512616,0.28775364
Parambikulam,2025-06-05,0.19692728,0.21747462,0.23043582,0.24101494,0.2495529,0.25725135,0.26783818,0.28089067,0.29535857
