model,horizon,crps,wql,mae,mase,n,skill_vs_clim
climatology,1,107.5255169056904,0.4829205515919608,128.42870581454744,0.8688375205618987,471.0,0.0
climatology,4,124.68575562341633,0.5232053268895398,147.3729392259792,0.9969978152697025,471.0,0.0
climatology,8,124.41297566217612,0.5225725405115081,146.8755265663026,0.9936327515233344,471.0,0.0
climatology,13,105.4884178308053,0.481225542965146,126.03064225909957,0.8526142970975602,471.0,0.0
persistence,1,102.21034349532341,0.4590489483762081,121.04237307961807,0.8188679831538974,471.0,0.0494317401424712
persistence,4,156.5708469041959,0.6570012807501272,183.5672901168609,1.2418574818600585,471.0,-0.255723607892155
persistence,8,218.16692034058204,0.916367776039058,240.01610726578676,1.6237413451230434,471.0,-0.7535704710815696
persistence,13,269.59961559621087,1.229881195171309,262.6959126198612,1.7771732879716682,471.0,-1.5557271702437165
seasonal_naive,1,168.01198019231072,0.7545784524773992,200.1342989634274,1.353935531686108,471.0,-0.5625312486493081
seasonal_naive,4,182.79604785139537,0.7670472500408366,217.05256580251609,1.4683898892181713,471.0,-0.46605397655436565
seasonal_naive,8,190.1607599572428,0.7987333387659389,217.2022226131592,1.4694023377316845,471.0,-0.5284640444063844
seasonal_naive,13,198.2883623895144,0.9045677887368808,202.89891757194349,1.3726385495347104,471.0,-0.8797169060545824
timesfm_covariates,1,85.94665577121589,0.3860051791141255,108.17613653529774,0.7355983848718627,471.0,0.20068595581271298
timesfm_covariates,4,116.59188085475401,0.48924187715169604,141.29266159925052,0.9607909562636449,471.0,0.06491418950138894
timesfm_covariates,8,122.44587151778302,0.5143101016082102,146.27218190989296,0.9946517245926193,471.0,0.01581108508918283
timesfm_covariates,13,108.35406618800198,0.49429828796404246,128.65407499970857,0.8748484906935915,471.0,-0.027165525999194973
timesfm_univariate,1,83.65941149520782,0.37573266614063133,105.8968253109329,0.72009905471492,471.0,0.22195759757579503
timesfm_univariate,4,118.07428361943123,0.4954623232579652,140.81182770008147,0.9575212828315106,471.0,0.05302507869426143
timesfm_univariate,8,126.40569909197168,0.530942588247306,149.68456949976343,1.017855980910707,471.0,-0.01601700641906101
timesfm_univariate,13,111.23509866000177,0.5074412134543274,132.9857168477944,0.9043036815457404,471.0,-0.05447688900229464
