model,horizon,crps,wql,mae,n,skill_vs_clim
climatology,1,0.15538101766912174,0.34005045509058235,0.20990695428080708,882.0,0.0
climatology,4,0.16966796296601247,0.36912665081002133,0.2262570705217106,882.0,0.0
climatology,8,0.17540341523929048,0.3778201117325081,0.23417682768815626,882.0,0.0
climatology,13,0.17426931532560352,0.3689888045991513,0.23580518113632495,882.0,0.0
persistence,1,0.02011934948805939,0.04403107954994862,0.022590736847090988,882.0,0.870516039926429
persistence,4,0.06326764632647407,0.13764398407849396,0.07244187525857848,882.0,0.6271090592444508
persistence,8,0.10629923338652096,0.2289692488620312,0.12134173001742661,882.0,0.3939728411701424
persistence,13,0.146778167356586,0.31078047453718183,0.168613158799102,882.0,0.15775093806762974
seasonal_naive,1,0.17422931610578604,0.38129984679375256,0.2192820396386306,882.0,-0.1213037391530094
seasonal_naive,4,0.17807528105025647,0.38741746489466483,0.22514290359023967,882.0,-0.0495515944039957
seasonal_naive,8,0.1811866412800652,0.39027721871596666,0.2232931118668241,882.0,-0.0329710002104866
seasonal_naive,13,0.185832687340454,0.39347248842451654,0.2242744187990065,882.0,-0.06635345983454144
timesfm_covariates,1,0.016011641674578136,0.03504138484780723,0.01899081678854658,882.0,0.8969523953777009
timesfm_covariates,4,0.051596745986424795,0.11225297755522413,0.06337880869651846,882.0,0.6958957655620552
timesfm_covariates,8,0.0865914738325516,0.18651860497622047,0.10913712247374917,882.0,0.506329601881349
timesfm_covariates,13,0.11609938048523465,0.24582280328529435,0.1540291493670844,882.0,0.3337933286286493
timesfm_univariate,1,0.016217370135594978,0.03549162039036774,0.01935719078542694,882.0,0.895628369675572
timesfm_univariate,4,0.051706161589346475,0.11249102022601948,0.06409415992859042,882.0,0.6952508848137456
timesfm_univariate,8,0.08562359997380296,0.1844337983095059,0.10859075548677781,882.0,0.5118475894155611
timesfm_univariate,13,0.11393315315516074,0.2412361459525301,0.15219485156454016,882.0,0.3462236714347051
