week_ending,discharge_cumecs,n_days,discharge_max_daily,valid,unusable,was_interpolated,rain_mm,temp_c,oni,dmi,woy_sin,woy_cos,water_year,regime,monsoon_phase,schedule_tmc
1971-09-05,513.4714285714286,7,745.0,True,False,False,,,-0.68,-0.746,-0.8854560256532096,-0.4647231720437691,1971,pre1991,SWM,0.0
1971-09-12,418.5285714285714,7,445.0,True,False,False,,,-0.68,-0.746,-0.9350162426854147,-0.3546048870425359,1971,pre1991,SWM,0.0
1971-09-19,550.7714285714286,7,880.0,True,False,False,,,-0.68,-0.746,-0.970941817426052,-0.23931566428755774,1971,pre1991,SWM,0.0
1971-09-26,759.4285714285714,7,1011.2,True,False,False,,,-0.68,-0.746,-0.992708874098054,-0.12053668025532357,1971,pre1991,SWM,0.0
1971-10-03,483.45714285714286,7,565.0,True,False,False,,,-0.78,-0.629,-1.0,-1.8369701987210297e-16,1971,pre1991,NEM,0.0
1971-10-10,382.12857142857143,7,474.6,True,False,False,,,-0.78,-0.629,-0.992708874098054,0.1205366802553232,1971,pre1991,NEM,0.0
1971-10-17,780.3142857142857,7,1235.0,True,False,False,,,-0.78,-0.629,-0.9709418174260521,0.23931566428755738,1971,pre1991,NEM,0.0
1971-10-24,486.15714285714284,7,700.0,True,False,False,,,-0.78,-0.629,-0.9350162426854148,0.35460488704253557,1971,pre1991,NEM,0.0
1971-10-31,357.2,7,525.0,True,False,False,,,-0.78,-0.629,-0.8854560256532101,0.464723172043768,1971,pre1991,NEM,0.0
1971-11-07,260.5571428571429,7,287.5,True,False,False,,,-0.86,0.018,-0.822983865893657,0.5680647467311548,1971,pre1991,NEM,0.0
1971-11-14,225.47142857142856,7,305.0,True,False,False,,,-0.86,0.018,-0.7485107481711011,0.6631226582407953,1971,pre1991,NEM,0.0
1971-11-21,197.74285714285716,7,300.0,True,False,False,,,-0.86,0.018,-0.6631226582407956,0.7485107481711007,1971,pre1991,NEM,0.0
1971-11-28,160.3857142857143,7,193.4,True,False,False,,,-0.86,0.018,-0.5680647467311559,0.8229838658936564,1971,pre1991,NEM,0.0
1971-12-05,154.4857142857143,7,187.6,True,False,False,,,-0.78,0.215,-0.4647231720437684,0.88545602565321,1971,pre1991,NEM,0.0
1971-12-12,151.07142857142858,7,159.1,True,False,False,,,-0.78,0.215,-0.35460488704253595,0.9350162426854147,1971,pre1991,NEM,0.0
1971-12-19,158.97142857142856,7,220.0,True,False,False,,,-0.78,0.215,-0.2393156642875578,0.970941817426052,1971,pre1991,NEM,0.0
1971-12-26,140.3857142857143,7,190.0,True,False,False,,,-0.78,0.215,-0.12053668025532363,0.992708874098054,1971,pre1991,NEM,0.0
1972-01-02,110.41428571428571,7,131.8,True,False,False,,,-0.57,0.143,6.432490598706546e-16,1.0,1971,pre1991,inter,0.0
1972-01-09,103.12857142857142,7,110.5,True,False,False,,,-0.57,0.143,0.12053668025532305,0.992708874098054,1971,pre1991,inter,0.0
1972-01-16,89.47142857142856,7,107.6,True,False,False,,,-0.57,0.143,0.23931566428755774,0.970941817426052,1971,pre1991,inter,0.0
1972-01-23,63.24285714285714,7,77.3,True,False,False,,,-0.57,0.143,0.3546048870425356,0.9350162426854148,1971,pre1991,inter,0.0
1972-01-30,47.528571428571425,7,66.3,True,False,False,,,-0.57,0.143,0.4647231720437685,0.8854560256532099,1971,pre1991,inter,0.0
1972-02-06,33.5,7,47.6,True,False,False,,,-0.27,-0.216,0.5680647467311558,0.8229838658936564,1971,pre1991,inter,0.0
1972-02-13,25.457142857142856,7,35.2,True,False,False,,,-0.27,-0.216,0.6631226582407952,0.7485107481711011,1971,pre1991,inter,0.0
1972-02-20,34.5,7,48.4,True,False,False,,,-0.27,-0.216,0.7485107481711011,0.6631226582407953,1971,pre1991,inter,0.0
1972-02-27,38.08571428571428,7,53.8,True,False,False,,,-0.27,-0.216,0.8229838658936564,0.5680647467311558,1971,pre1991,inter,0.0
1972-03-05,31.885714285714283,7,38.4,True,False,False,,,0.04,0.03,0.8854560256532098,0.4647231720437686,1971,pre1991,inter,0.0
1972-03-12,30.857142857142858,7,44.0,True,False,False,,,0.04,0.03,0.9350162426854148,0.35460488704253557,1971,pre1991,inter,0.0
1972-03-19,44.91428571428571,7,53.7,True,False,False,,,0.04,0.03,0.970941817426052,0.23931566428755804,1971,pre1991,inter,0.0
1972-03-26,45.857142857142854,7,51.4,True,False,False,,,0.04,0.03,0.992708874098054,0.120536680255323,1971,pre1991,inter,0.0
1972-04-02,34.5,7,43.8,True,False,False,,,0.25,0.131,1.0,-1.6081226496766366e-16,1971,pre1991,inter,0.0
1972-04-09,33.4,7,45.2,True,False,False,,,0.25,0.131,0.992708874098054,-0.12053668025532288,1971,pre1991,inter,0.0
