week_ending,reservoir,live_storage_bcm
2015-04-16,Aliyar,0.074
2015-04-23,Aliyar,0.077
2015-04-30,Aliyar,0.078
2015-05-07,Aliyar,0.077
2015-05-14,Aliyar,0.078
2015-05-21,Aliyar,0.079
2015-05-28,Aliyar,0.078
2015-06-04,Aliyar,0.076
2015-06-11,Aliyar,0.074
2015-06-18,Aliyar,0.068
2015-06-25,Aliyar,0.068
2015-07-02,Aliyar,0.078
2015-07-09,Aliyar,0.08
2015-07-16,Aliyar,0.08
2015-07-23,Aliyar,0.083
2015-07-30,Aliyar,0.087
2015-08-06,Aliyar,0.087
2015-08-13,Aliyar,0.086
2015-08-20,Aliyar,0.085
2015-08-27,Aliyar,0.089
2015-09-03,Aliyar,0.089
2015-09-10,Aliyar,0.087
2015-09-17,Aliyar,0.082
2015-09-24,Aliyar,0.0805
2015-10-01,Aliyar,0.083
2015-10-08,Aliyar,0.084
2015-10-15,Aliyar,0.084
2015-10-22,Aliyar,0.082
2015-10-29,Aliyar,0.08
2015-11-05,Aliyar,0.077
2015-11-12,Aliyar,0.078
2015-11-19,Aliyar,0.08
2015-11-26,Aliyar,0.09
2015-12-03,Aliyar,0.092
2015-12-10,Aliyar,0.092
2015-12-17,Aliyar,0.093
2015-12-24,Aliyar,0.0885
2015-12-31,Aliyar,0.085
2016-01-07,Aliyar,0.076
2016-01-14,Aliyar,0.066
2016-01-21,Aliyar,0.06
2016-01-28,Aliyar,0.054
2016-02-04,Aliyar,0.048
2016-02-11,Aliyar,0.046
2016-02-18,Aliyar,0.039
2016-02-25,Aliyar,0.03
2016-03-03,Aliyar,0.021
2016-03-10,Aliyar,0.018
2016-03-17,Aliyar,0.017
2016-03-24,Aliyar,0.0165
2016-03-31,Aliyar,0.016
2016-04-07,Aliyar,0.015
2016-04-14,Aliyar,0.014499999999999999
2016-04-21,Aliyar,0.014
2016-04-28,Aliyar,0.013000000000000001
2016-05-05,Aliyar,0.012
2016-05-12,Aliyar,0.018
2016-05-19,Aliyar,0.025
2016-05-26,Aliyar,0.0305
2016-06-02,Aliyar,0.036
2016-06-09,Aliyar,0.031
2016-06-16,Aliyar,0.028
2016-06-23,Aliyar,0.027
2016-06-30,Aliyar,0.025
2016-07-07,Aliyar,0.0235
2016-07-14,Aliyar,0.023
2016-07-21,Aliyar,0.023
2016-07-28,Aliyar,0.022
2016-08-04,Aliyar,0.02
2016-08-11,Aliyar,0.021
2016-08-18,Aliyar,0.018
2016-08-25,Aliyar,0.015
2016-09-01,Aliyar,0.013
2016-09-08,Aliyar,0.009
2016-09-15,Aliyar,0.007
2016-09-22,Aliyar,0.005
2016-09-29,Aliyar,0.006
2016-10-06,Aliyar,0.012
2016-10-13,Aliyar,0.008
2016-10-20,Aliyar,0.007
2016-10-27,Aliyar,0.009
2016-11-03,Aliyar,0.011
2016-11-10,Aliyar,0.014
2016-11-17,Aliyar,0.018
2016-11-24,Aliyar,0.012
2016-12-01,Aliyar,0.005
2016-12-08,Aliyar,0.009
2016-12-15,Aliyar,0.011
2016-12-22,Aliyar,0.008
2016-12-29,Aliyar,0.006
2017-01-05,Aliyar,0.003
2017-01-12,Aliyar,0.0
2017-01-19,Aliyar,0.001
2017-01-26,Aliyar,0.0065
2017-02-02,Aliyar,0.002
2017-02-09,Aliyar,0.003
2017-02-16,Aliyar,0.004
2017-02-23,Aliyar,0.004
2017-03-02,Aliyar,0.006
2017-03-09,Aliyar,0.006
2017-03-16,Aliyar,0.006500000000000001
2017-03-23,Aliyar,0.007
2017-03-30,Aliyar,0.011
2017-04-06,Aliyar,0.014
2017-04-13,Aliyar,0.017
2017-04-20,Aliyar,0.02
2017-04-27,Aliyar,0.022
2017-05-04,Aliyar,0.025
2017-05-11,Aliyar,0.027
2017-05-18,Aliyar,0.024
2017-05-25,Aliyar,0.022
2017-06-01,Aliyar,0.02
2017-06-08,Aliyar,0.018
2017-06-15,Aliyar,0.016
2017-06-22,Aliyar,0.013
2017-06-29,Aliyar,0.012
2017-07-06,Aliyar,0.012
2017-07-13,Aliyar,0.01
2017-07-20,Aliyar,0.01
2017-07-27,Aliyar,0.01
2017-08-03,Aliyar,0.01
2017-08-10,Aliyar,0.01
2017-08-17,Aliyar,0.009
2017-08-24,Aliyar,0.01
2017-08-31,Aliyar,0.016
2017-09-07,Aliyar,0.024
2017-09-14,Aliyar,0.0315
2017-09-21,Aliyar,0.039
2017-09-28,Aliyar,0.04
2017-10-05,Aliyar,0.039
2017-10-12,Aliyar,0.035
2017-10-19,Aliyar,0.034
2017-10-26,Aliyar,0.034
2017-11-02,Aliyar,0.039
2017-11-09,Aliyar,0.044
2017-11-16,Aliyar,0.038
2017-11-23,Aliyar,0.032
2017-11-30,Aliyar,0.031
2017-12-07,Aliyar,0.037
2017-12-14,Aliyar,0.04
2017-12-21,Aliyar,0.035
2017-12-28,Aliyar,0.025
2018-01-04,Aliyar,0.019
2018-01-11,Aliyar,0.013
2018-01-18,Aliyar,0.008
2018-01-25,Aliyar,0.004
2018-02-01,Aliyar,0.001
2018-02-08,Aliyar,0.0
2018-02-15,Aliyar,0.0
2018-02-22,Aliyar,0.0
2018-03-01,Aliyar,0.004
2018-03-08,Aliyar,0.004
2018-03-15,Aliyar,0.0
2018-03-22,Aliyar,0.0
2018-03-29,Aliyar,0.0
2018-04-05,Aliyar,0.0
2018-04-12,Aliyar,0.0
2018-04-19,Aliyar,0.0
2018-04-26,Aliyar,0.0
2018-05-03,Aliyar,0.0
2018-05-10,Aliyar,0.0005
2018-05-17,Aliyar,0.001
2018-05-24,Aliyar,0.001
2018-05-31,Aliyar,0.0
2018-06-07,Aliyar,0.0
2018-06-14,Aliyar,0.002
2018-06-21,Aliyar,0.014
2018-06-28,Aliyar,0.016
2018-07-05,Aliyar,0.026
2018-07-12,Aliyar,0.028
2018-07-19,Aliyar,0.078
2018-07-26,Aliyar,0.08549999999999999
2018-08-02,Aliyar,0.093
